"row ID","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Prediction (Churn)"
"Row0",8000,"Male",0,"Yes","Yes",5,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",25.9,135,"No"
"Row1",8001,"Female",0,"Yes","Yes",30,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.05,3046.15,"Yes"
"Row2",8002,"Male",0,"No","No",69,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",106.5,7348.8,"No"
"Row3",8003,"Female",0,"Yes","No",69,"Yes","No","DSL","No","Yes","No","No","No","Yes","Two year","Yes","Credit card (automatic)",61.45,4131.2,"No"
"Row4",8004,"Male",0,"No","No",50,"Yes","Yes","DSL","No","No","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",69.5,3418.2,"No"
"Row5",8005,"Female",0,"No","No",11,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",94.2,999.9,"Yes"
"Row6",8006,"Male",0,"Yes","Yes",68,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.95,1377.7,"No"
"Row7",8007,"Male",0,"Yes","No",66,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Electronic check",85.25,5538.35,"No"
"Row8",8008,"Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.4,70.4,"No"
"Row9",8009,"Male",0,"No","No",19,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","No","Month-to-month","No","Mailed check",89.95,1682.4,"No"
"Row10",8010,"Male",0,"Yes","Yes",26,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",82,2083.1,"No"
"Row11",8011,"Female",0,"No","No",46,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Mailed check",79.2,3593.8,"No"
"Row12",8012,"Male",1,"Yes","No",69,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",108.4,7318.2,"No"
"Row13",8013,"Male",0,"No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",51.25,51.25,"No"
"Row14",8014,"Male",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,162.45,"Yes"
"Row15",8015,"Male",0,"No","No",13,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",50.55,610.75,"No"
"Row16",8016,"Female",0,"No","No",4,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",29.15,110.05,"No"
"Row17",8017,"Female",0,"No","No",2,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",49.4,106.55,"Yes"
"Row18",8018,"Female",0,"Yes","Yes",71,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",95.75,6849.4,"No"
"Row19",8019,"Female",0,"Yes","Yes",43,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",75.2,3254.35,"No"
"Row20",8020,"Male",0,"No","No",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21.45,705.45,"No"
"Row21",8021,"Female",0,"Yes","No",51,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",49.65,2553.35,"Yes"
"Row22",8022,"Male",0,"No","No",9,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.95,431,"No"
"Row23",8023,"Male",1,"Yes","No",32,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",80.3,2483.05,"No"
"Row24",8024,"Male",0,"Yes","Yes",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.8,1396.25,"No"
"Row25",8025,"Female",0,"No","No",5,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",25.45,134.75,"No"
"Row26",8026,"Male",1,"No","No",25,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",105.95,2655.25,"No"
"Row27",8027,"Male",0,"Yes","Yes",55,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",85.5,4713.4,"No"
"Row28",8028,"Male",0,"No","Yes",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",76.9,5522.7,"No"
"Row29",8029,"Male",0,"No","No",21,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",103.85,2215,"No"
"Row30",8030,"Female",0,"Yes","Yes",57,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","Yes","Mailed check",59.3,3274.35,"No"
