"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Prediction (Churn)"
8000,"Male",0,"Yes","Yes",5,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",25.9,135,"No"
8001,"Female",0,"Yes","Yes",30,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.05,3046.15,"Yes"
8002,"Male",0,"No","No",69,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",106.5,7348.8,"Yes"
8003,"Female",0,"Yes","No",69,"Yes","No","DSL","No","Yes","No","No","No","Yes","Two year","Yes","Credit card (automatic)",61.45,4131.2,"No"
8004,"Male",0,"No","No",50,"Yes","Yes","DSL","No","No","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",69.5,3418.2,"No"
8005,"Female",0,"No","No",11,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",94.2,999.9,"Yes"
8006,"Male",0,"Yes","Yes",68,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.95,1377.7,"No"
8007,"Male",0,"Yes","No",66,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Electronic check",85.25,5538.35,"No"
8008,"Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.4,70.4,"Yes"
8009,"Male",0,"No","No",19,"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","No","Month-to-month","No","Mailed check",89.95,1682.4,"No"
8010,"Male",0,"Yes","Yes",26,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",82,2083.1,"No"
8011,"Female",0,"No","No",46,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Mailed check",79.2,3593.8,"No"
8012,"Male",1,"Yes","No",69,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",108.4,7318.2,"Yes"
8013,"Male",0,"No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",51.25,51.25,"No"
8014,"Male",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,162.45,"Yes"
8015,"Male",0,"No","No",13,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",50.55,610.75,"No"
8016,"Female",0,"No","No",4,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",29.15,110.05,"No"
8017,"Female",0,"No","No",2,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",49.4,106.55,"Yes"
8018,"Female",0,"Yes","Yes",71,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",95.75,6849.4,"No"
8019,"Female",0,"Yes","Yes",43,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",75.2,3254.35,"No"
8020,"Male",0,"No","No",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21.45,705.45,"No"
8021,"Female",0,"Yes","No",51,"No","No phone service","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",49.65,2553.35,"No"
8022,"Male",0,"No","No",9,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.95,431,"No"
8023,"Male",1,"Yes","No",32,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",80.3,2483.05,"No"
8024,"Male",0,"Yes","Yes",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.8,1396.25,"No"
8025,"Female",0,"No","No",5,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",25.45,134.75,"No"
8026,"Male",1,"No","No",25,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",105.95,2655.25,"Yes"
8027,"Male",0,"Yes","Yes",55,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",85.5,4713.4,"No"
8028,"Male",0,"No","Yes",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",76.9,5522.7,"No"
8029,"Male",0,"No","No",21,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",103.85,2215,"Yes"
8030,"Female",0,"Yes","Yes",57,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","Yes","Mailed check",59.3,3274.35,"No"
8031,"Female",0,"No","No",19,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",24.7,465.85,"No"
8032,"Male",1,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",85.55,5251.75,"No"
8033,"Female",0,"Yes","No",4,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",25.15,99.95,"Yes"
8034,"Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",110.75,7751.7,"No"
8035,"Male",0,"No","No",3,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",25.1,79.8,"Yes"
8036,"Female",0,"Yes","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.85,256.6,"No"
8037,"Female",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",89.8,6510.45,"No"
8038,"Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",90.35,6325.25,"No"
8039,"Male",0,"Yes","Yes",69,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Mailed check",39.1,2779.5,"No"
8040,"Female",0,"Yes","Yes",34,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",87.45,2874.15,"No"
8041,"Female",0,"Yes","No",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",26.3,1763.55,"No"
8042,"Male",0,"No","No",3,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",78.5,242.05,"Yes"
8043,"Female",1,"Yes","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",102.05,3452.55,"Yes"
8044,"Male",0,"No","No",51,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Credit card (automatic)",80,4242.35,"No"
8045,"Male",0,"No","No",20,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",98.55,2031.95,"Yes"
8046,"Female",0,"Yes","Yes",16,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",79.95,1267.95,"No"
8047,"Female",1,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",74.4,1692.6,"No"
8048,"Male",1,"Yes","No",70,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",105.35,7511.9,"No"
8049,"Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.15,20.15,"No"
8050,"Female",0,"No","No",15,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.65,994.55,"No"
8051,"Female",0,"No","No",11,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",35.8,363.15,"No"
