"PHONESERVICE","MULTIPLELINES","INTERNETSERVICE","ONLINESECURITY","ONLINEBACKUP","DEVICEPROTECTION","TECHSUPPORT","STREAMINGTV","STREAMINGMOVIES","CHURN","USERS"
"No","No phone service","DSL","No","No","No","No","No","No","No","38"
"No","No phone service","DSL","No","No","No","No","No","No","Yes","30"
"No","No phone service","DSL","No","No","No","No","No","No","","68"
"No","No phone service","DSL","No","No","No","No","No","Yes","No","5"
"No","No phone service","DSL","No","No","No","No","No","Yes","Yes","12"
"No","No phone service","DSL","No","No","No","No","No","Yes","","17"
"No","No phone service","DSL","No","No","No","No","No","","","85"
"No","No phone service","DSL","No","No","No","No","Yes","No","No","2"
"No","No phone service","DSL","No","No","No","No","Yes","No","Yes","7"
"No","No phone service","DSL","No","No","No","No","Yes","No","","9"
"No","No phone service","DSL","No","No","No","No","Yes","Yes","No","9"
"No","No phone service","DSL","No","No","No","No","Yes","Yes","Yes","9"
"No","No phone service","DSL","No","No","No","No","Yes","Yes","","18"
"No","No phone service","DSL","No","No","No","No","Yes","","","27"
"No","No phone service","DSL","No","No","No","No","","","","112"
"No","No phone service","DSL","No","No","No","Yes","No","No","No","15"
"No","No phone service","DSL","No","No","No","Yes","No","No","Yes","6"
"No","No phone service","DSL","No","No","No","Yes","No","No","","21"
"No","No phone service","DSL","No","No","No","Yes","No","Yes","No","3"
"No","No phone service","DSL","No","No","No","Yes","No","Yes","","3"
"No","No phone service","DSL","No","No","No","Yes","No","","","24"
"No","No phone service","DSL","No","No","No","Yes","Yes","No","No","3"
"No","No phone service","DSL","No","No","No","Yes","Yes","No","Yes","2"
"No","No phone service","DSL","No","No","No","Yes","Yes","No","","5"
"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","No","3"
"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","Yes","2"
"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","","5"
"No","No phone service","DSL","No","No","No","Yes","Yes","","","10"
"No","No phone service","DSL","No","No","No","Yes","","","","34"
"No","No phone service","DSL","No","No","No","","","","","146"
"No","No phone service","DSL","No","No","Yes","No","No","No","No","6"
"No","No phone service","DSL","No","No","Yes","No","No","No","Yes","5"
"No","No phone service","DSL","No","No","Yes","No","No","No","","11"
"No","No phone service","DSL","No","No","Yes","No","No","Yes","No","2"
"No","No phone service","DSL","No","No","Yes","No","No","Yes","Yes","4"
"No","No phone service","DSL","No","No","Yes","No","No","Yes","","6"
"No","No phone service","DSL","No","No","Yes","No","No","","","17"
"No","No phone service","DSL","No","No","Yes","No","Yes","No","Yes","4"
"No","No phone service","DSL","No","No","Yes","No","Yes","No","","4"
"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","No","12"
"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","Yes","9"
"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","","21"
"No","No phone service","DSL","No","No","Yes","No","Yes","","","25"
"No","No phone service","DSL","No","No","Yes","No","","","","42"
"No","No phone service","DSL","No","No","Yes","Yes","No","No","No","10"
"No","No phone service","DSL","No","No","Yes","Yes","No","No","","10"
"No","No phone service","DSL","No","No","Yes","Yes","No","Yes","No","3"
"No","No phone service","DSL","No","No","Yes","Yes","No","Yes","Yes","1"
"No","No phone service","DSL","No","No","Yes","Yes","No","Yes","","4"
"No","No phone service","DSL","No","No","Yes","Yes","No","","","14"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","No","No","3"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","No","","3"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","No","14"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","","14"
"No","No phone service","DSL","No","No","Yes","Yes","Yes","","","17"
"No","No phone service","DSL","No","No","Yes","Yes","","","","31"
"No","No phone service","DSL","No","No","Yes","","","","","73"
"No","No phone service","DSL","No","No","","","","","","219"
