"TENURE","CHURN","USERS"
"1","No","198"
"1","Yes","326"
"1","","524"
"2","No","98"
"2","Yes","104"
"2","","202"
"3","No","94"
"3","Yes","79"
"3","","173"
"4","No","84"
"4","Yes","68"
"4","","152"
"5","No","61"
"5","Yes","58"
"5","","119"
"6","No","63"
"6","Yes","36"
"6","","99"
"7","No","73"
"7","Yes","44"
"7","","117"
"8","No","74"
"8","Yes","35"
"8","","109"
"9","No","62"
"9","Yes","43"
"9","","105"
"10","No","66"
"10","Yes","36"
"10","","102"
"11","No","62"
"11","Yes","26"
"11","","88"
"12","No","68"
"12","Yes","31"
"12","","99"
"13","No","67"
"13","Yes","34"
"13","","101"
"14","No","46"
"14","Yes","17"
"14","","63"
"15","No","57"
"15","Yes","34"
"15","","91"
"16","No","48"
"16","Yes","24"
"16","","72"
"17","No","55"
"17","Yes","21"
"17","","76"
"18","No","69"
"18","Yes","20"
"18","","89"
"19","No","50"
"19","Yes","16"
"19","","66"
"20","No","44"
"20","Yes","16"
"20","","60"
"21","No","40"
"21","Yes","13"
"21","","53"
"22","No","57"
"22","Yes","25"
"22","","82"
"23","No","67"
"23","Yes","12"
"23","","79"
"24","No","65"
"24","Yes","21"
"24","","86"
"25","No","51"
"25","Yes","18"
"25","","69"
"26","No","59"
"26","Yes","14"
"26","","73"
"27","No","50"
"27","Yes","9"
"27","","59"
"28","No","43"
"28","Yes","12"
"28","","55"
"29","No","50"
"29","Yes","13"
"29","","63"
"30","No","50"
"30","Yes","14"
"30","","64"
"31","No","40"
"31","Yes","13"
"31","","53"
"32","No","44"
"32","Yes","16"
"32","","60"
"33","No","46"
"33","Yes","11"
"33","","57"
"34","No","44"
"34","Yes","8"
"34","","52"
"35","No","66"
"35","Yes","12"
"35","","78"
"36","No","36"
"36","Yes","10"
"36","","46"
"37","No","43"
"37","Yes","14"
"37","","57"
"38","No","41"
"38","Yes","13"
"38","","54"
"39","No","33"
"39","Yes","12"
"39","","45"
"40","No","46"
"40","Yes","12"
"40","","58"
"41","No","51"
"41","Yes","10"
"41","","61"
"42","No","46"
"42","Yes","11"
"42","","57"
"43","No","40"
"43","Yes","12"
"43","","52"
"44","No","41"
"44","Yes","5"
"44","","46"
"45","No","51"
"45","Yes","4"
"45","","55"
"46","No","54"
"46","Yes","10"
"46","","64"
"47","No","43"
"47","Yes","12"
"47","","55"
"48","No","43"
"48","Yes","9"
"48","","52"
"49","No","46"
"49","Yes","15"
"49","","61"
"50","No","49"
"50","Yes","8"
"50","","57"
"51","No","56"
"51","Yes","6"
"51","","62"
"52","No","63"
"52","Yes","7"
"52","","70"
"53","No","50"
"53","Yes","11"
"53","","61"
"54","No","49"
"54","Yes","11"
"54","","60"
"55","No","48"
"55","Yes","8"
"55","","56"
"56","No","63"
"56","Yes","9"
"56","","72"
"57","No","50"
"57","Yes","6"
"57","","56"
"58","No","54"
"58","Yes","10"
"58","","64"
"59","No","44"
"59","Yes","6"
"59","","50"
"60","No","61"
"60","Yes","6"
"60","","67"
"61","No","56"
"61","Yes","6"
"61","","62"
"62","No","58"
"62","Yes","5"
"62","","63"
"63","No","57"
"63","Yes","3"
"63","","60"
"64","No","66"
"64","Yes","4"
"64","","70"
"65","No","57"
"65","Yes","7"
"65","","64"
"66","No","66"
"66","Yes","10"
"66","","76"
"67","No","79"
"67","Yes","10"
"67","","89"
"68","No","78"
"68","Yes","8"
"68","","86"
"69","No","74"
"69","Yes","5"
"69","","79"
"70","No","88"
"70","Yes","11"
"70","","99"
"71","No","137"
"71","Yes","6"
"71","","143"
"72","No","307"
"72","Yes","6"
"72","","313"
"","","6132"
